កងអន្តរាគមន៍	កង|អន្តរាគមន៍	ក・ង・អ・ន・្・ត・រ・ា・គ・ម・ន・៍
ទន្តោដ្ឋជៈ	ទន្តោដ្ឋ|ជៈ	ទ・ន・្・ត・ោ・ដ・្・ឋ・ជ・ៈ
ទន្ត្រំ	ទន្ត្រំ	ទ・ន・្・ត・្・រ・ំ
ទិព្វមន្ត	ទិព្វ|មន្ត	ទ・ិ・ព・្・វ・ម・ន・្・ត
ទិវាកុមារអន្តរជាតិ	ទិវា|កុមារ|អន្តរ|ជាតិ	ទ・ិ・វ・ា・ក・ុ・ម・ា・រ・អ・ន・្・ត・រ・ជ・ា・ត・ិ
ទិវាពលកម្មអន្តរជាតិ	ទិវា|ពលកម្ម|អន្តរ|ជាតិ	ទ・ិ・វ・ា・ព・ល・ក・ម・្・ម・អ・ន・្・ត・រ・ជ・ា・ត・ិ
ទិវាសិទ្ធិនារីអន្តរជាតិ	ទិវា|សិទ្ធិ|នារី|អន្តរ|ជាតិ	ទ・ិ・វ・ា・ស・ិ・ទ・្・ធ・ិ・ន・ា・រ・ី・អ・ន・្・ត・រ・ជ・ា・ត・ិ
ទិវាសិទ្ធិមនុស្សអន្តរជាតិ	ទិវា|សិទ្ធិ|មនុស្ស|អន្តរ|ជាតិ	ទ・ិ・វ・ា・ស・ិ・ទ・្・ធ・ិ・ម・ន・ុ・ស・្・ស・អ・ន・្・ត・រ・ជ・ា・ត・ិ
ទីស្ដីការគណៈរដ្ឋមន្ត្រី	ទីស្ដីការ|គណៈ|រដ្ឋ|មន្ត្រី	ទ・ី・ស・្・ដ・ី・ក・ា・រ・គ・ណ・ៈ・រ・ដ・្・ឋ・ម・ន・្・ត・្・រ・ី
ទឹកមន្ត	ទឹក|មន្ត	ទ・ឹ・ក・ម・ន・្・ត
ទុព្ភិក្ខកន្តារ	ទុព្ភិក្ខ|កន្តារ	ទ・ុ・ព・្・ភ・ិ・ក・្・ខ・ក・ន・្・ត・ា・រ
ទេពនិមន្ត	ទេព|និមន្ត	ទ・េ・ព・ន・ិ・ម・ន・្・ត
ទេពនិមន្តន៍	ទេព|និមន្តន៍	ទ・េ・ព・ន・ិ・ម・ន・្・ត・ន・៍
ទេសន្តរប្រវេសករ	ទេសន្តរប្រវេសករ	ទ・េ・ស・ន・្・ត・រ・ប・្・រ・វ・េ・ស・ក・រ
ទេសន្តរប្រវេសន៍	ទេសន្តរប្រវេសន៍	ទ・េ・ស・ន・្・ត・រ・ប・្・រ・វ・េ・ស・ន・៍
ទោចក្រយានយន្ត	ទោ|ចក្រ|យាន|យន្ត	ទ・ោ・ច・ក・្・រ・យ・ា・ន・យ・ន・្・ត
ទ្រព្យសកម្មចរន្ត	ទ្រព្យ|សកម្ម|ចរន្ត	ទ・្・រ・ព・្・យ・ស・ក・ម・្・ម・ច・រ・ន・្・ត
ទ្វិទន្ត	ទ្វិទន្ត	ទ・្・វ・ិ・ទ・ន・្・ត
ធម្មន្តេវាសិក	ធម្មន្តេវាសិក	ធ・ម・្・ម・ន・្・ត・េ・វ・ា・ស・ិ・ក
ធាតុអន្តរធាន	ធាតុ|អន្តរធាន	ធ・ា・ត・ុ・អ・ន・្・ត・រ・ធ・ា・ន
នព្វន្ត	នព្វន្ត	ន・ព・្・វ・ន・្・ត
នាគទន្ត	នាគ|ទន្ត	ន・ា・គ・ទ・ន・្・ត
