កងអន្តរាគមន៍	កង|អន្តរាគមន៍	ក・ង・អ・ន・្・ត・រ・ា・គ・ម・ន・៍
អរហន្តោ	អរហន្តោ	អ・រ・ហ・ន・្・ត・ោ
អសន្តិសុខ	អសន្តិសុខ	អ・ស・ន・្・ត・ិ・ស・ុ・ខ
អសុចិទន្ត	អសុចិទន្ត	អ・ស・ុ・ច・ិ・ទ・ន・្・ត
អសុចិសន្តាន	អសុចិសន្តាន	អ・ស・ុ・ច・ិ・ស・ន・្・ត・ា・ន
អសុទ្ធិមន្ត	អសុទ្ធិ|មន្ត	អ・ស・ុ・ទ・្・ធ・ិ・ម・ន・្・ត
អសុទ្ធិមន្តី	អសុទ្ធិ|មន្តី	អ・ស・ុ・ទ・្・ធ・ិ・ម・ន・្・ត・ី
អស្ថិរវន្ត	អស្ថិរវន្ត	អ・ស・្・ថ・ិ・រ・វ・ន・្・ត
អហិមន្ត	អហិមន្ត	អ・ហ・ិ・ម・ន・្・ត
អហិមន្ត្រ	អហិមន្ត្រ	អ・ហ・ិ・ម・ន・្・ត・្・រ
អាកុលចិន្តា	អាកុល|ចិន្តា	អ・ា・ក・ុ・ល・ច・ិ・ន・្・ត・ា
អាគន្តុ	អាគន្តុ	អ・ា・គ・ន・្・ត・ុ
អាគន្តុក	អាគន្តុក	អ・ា・គ・ន・្・ត・ុ・ក
អាគន្តុកជន	អាគន្តុក|ជន	អ・ា・គ・ន・្・ត・ុ・ក・ជ・ន
អាគន្តុកទាន	អាគន្តុក|ទាន	អ・ា・គ・ន・្・ត・ុ・ក・ទ・ា・ន
អាគន្តុកប័ដ	អាគន្តុក|ប័ដ	អ・ា・គ・ន・្・ត・ុ・ក・ប・័・ដ
អាគន្តុកប្បដិសណ្ឋារ	អាគន្តុក|ប្បដិសណ្ឋារ	អ・ា・គ・ន・្・ត・ុ・ក・ប・្・ប・ដ・ិ・ស・ណ・្・ឋ・ា・រ
អាគន្តុកប្បដិសណ្ឋារៈ	អាគន្តុក|ប្បដិសណ្ឋារៈ	អ・ា・គ・ន・្・ត・ុ・ក・ប・្・ប・ដ・ិ・ស・ណ・្・ឋ・ា・រ・ៈ
អាគន្តុកភត្ត	អាគន្តុក|ភត្ត	អ・ា・គ・ន・្・ត・ុ・ក・ភ・ត・្・ត
អាគន្តុកភិក្ខុ	អាគន្តុក|ភិក្ខុ	អ・ា・គ・ន・្・ត・ុ・ក・ភ・ិ・ក・្・ខ・ុ
អាគន្តុកវត្ត	អាគន្តុក|វត្ត	អ・ា・គ・ន・្・ត・ុ・ក・វ・ត・្・ត
អាគន្តុកា	អាគន្តុកា	អ・ា・គ・ន・្・ត・ុ・ក・ា
អាគន្តុកៈ	អាគន្តុកៈ	អ・ា・គ・ន・្・ត・ុ・ក・ៈ
អាគន្តុក—	អាគន្តុក—	អ・ា・គ・ន・្・ត・ុ・ក・—
អាមន្តន	អា|មន្តន	អ・ា・ម・ន・្・ត・ន
អាមន្តនកថា	អា|មន្ត|នក|ថា	អ・ា・ម・ន・្・ត・ន・ក・ថ・ា
អាមន្តនកិច្ច	អា|មន្តន|កិច្ច	អ・ា・ម・ន・្・ត・ន・ក・ិ・ច・្・ច
អាមន្តនបណ្ណ	អា|មន្តន|បណ្ណ	អ・ា・ម・ន・្・ត・ន・ប・ណ・្・ណ
អាមន្តនបត្រ	អា|មន្ត|នបត្រ	អ・ា・ម・ន・្・ត・ន・ប・ត・្・រ
អាមន្តនភាព	អា|មន្តន|ភាព	អ・ា・ម・ន・្・ត・ន・ភ・ា・ព
អាមន្តនៈ	អា|មន្តនៈ	អ・ា・ម・ន・្・ត・ន・ៈ
អាមន្តន—	អា|មន្ត|ន—	អ・ា・ម・ន・្・ត・ន・—
អាយស្មន្ត	អាយ|ស្មន្ត	អ・ា・យ・ស・្・ម・ន・្・ត
អាយាមន្តរ	អាយា|មន្តរ	អ・ា・យ・ា・ម・ន・្・ត・រ
អាយុស្មន្ត	អាយុ|ស្មន្ត	អ・ា・យ・ុ・ស・្・ម・ន・្・ត
អារោហន្ត	អារោហន្ត	អ・ា・រ・ោ・ហ・ន・្・ត
អាសនន្តរិក	អាសនន្តរិក	អ・ា・ស・ន・ន・្・ត・រ・ិ・ក
អុកអន្តរជាតិ	អុក|អន្តរ|ជាតិ	អ・ុ・ក・អ・ន・្・ត・រ・ជ・ា・ត・ិ
ឥណវន្ត	ឥណ|វន្ត	ឥ・ណ・វ・ន・្・ត
ឥណវន្តី	ឥណ|វន្តី	ឥ・ណ・វ・ន・្・ត・ី
ឥត្ថីមន្ត	ឥត្ថី|មន្ត	ឥ・ត・្・ថ・ី・ម・ន・្・ត
ឥទ្ធិមន្ត	ឥទ្ធិ|មន្ត	ឥ・ទ・្・ធ・ិ・ម・ន・្・ត
ឥទ្ធិមន្តី	ឥទ្ធិ|មន្តី	ឥ・ទ・្・ធ・ិ・ម・ន・្・ត・ី
ឧជុសន្តាន	ឧជុសន្តាន	ឧ・ជ・ុ・ស・ន・្・ត・ា・ន
ឧដ្ឋានវន្ត	ឧដ្ឋាន|វន្ត	ឧ・ដ・្・ឋ・ា・ន・វ・ន・្・ត
ឧដ្ឋានវន្តី	ឧដ្ឋាន|វន្តី	ឧ・ដ・្・ឋ・ា・ន・វ・ន・្・ត・ី
ឧត្តមមន្ត្រី	ឧត្តម|មន្ត្រី	ឧ・ត・្・ត・ម・ម・ន・្・ត・្・រ・ី
ឧត្តានចិន្តា	ឧត្តាន|ចិន្តា	ឧ・ត・្・ត・ា・ន・ច・ិ・ន・្・ត・ា
ឧទកន្តរណ៍	ឧទកន្តរណ៍	ឧ・ទ・ក・ន・្・ត・រ・ណ・៍
ឧទកបរិយន្ត	ឧទកបរិយន្ត	ឧ・ទ・ក・ប・រ・ិ・យ・ន・្・ត
ឧបទ្ទវន្តរាយ	ឧបទ្ទ|វន្តរាយ	ឧ・ប・ទ・្・ទ・វ・ន・្・ត・រ・ា・យ
ឧបនិមន្តន៍	ឧបនិមន្តន៍	ឧ・ប・ន・ិ・ម・ន・្・ត・ន・៍
ឧបវាទន្តរាយ	ឧបវា|ទន្តរាយ	ឧ・ប・វ・ា・ទ・ន・្・ត・រ・ា・យ
ឧបសន្តិភាព	ឧបសន្តិភាព	ឧ・ប・ស・ន・្・ត・ិ・ភ・ា・ព
ឧបសម្បទន្តេវាសិក	ឧបសម្បទ|ន្តេវាសិក	ឧ・ប・ស・ម・្・ប・ទ・ន・្・ត・េ・វ・ា・ស・ិ・ក
ឩសវន្ត	ឩសវន្ត	ឩ・ស・វ・ន・្・ត
ឯកន្តបរមសុខ	ឯកន្ត|បរម|សុខ	ឯ・ក・ន・្・ត・ប・រ・ម・ស・ុ・ខ
ឯកន្តសុខ	ឯកន្ត|សុខ	ឯ・ក・ន・្・ត・ស・ុ・ខ
ឯកអគ្គារហន្ត	ឯក|អគ្គារ|ហន្ត	ឯ・ក・អ・គ・្・គ・ា・រ・ហ・ន・្・ត
ឱជវន្តី	ឱជវន្តី	ឱ・ជ・វ・ន・្・ត・ី
ឱជវ័ន្ត	ឱជវ័ន្ត	ឱ・ជ・វ・័・ន・្・ត
ឱតភ័ន្ត	ឱត|ភ័ន្ត	ឱ・ត・ភ・័・ន・្・ត
ឱភាសមន្ត្រី	ឱភាស|មន្ត្រី	ឱ・ភ・ា・ស・ម・ន・្・ត・្・រ・ី
