ព្រះកិត្តិនាម	ព・្・រ・ះ・ក・ិ・ត・្・ត・ិ・ន・ា・ម
ចិត្តលោភ	ច・ិ・ត・្・ត・ល・ោ・ភ
ស្វ័យប្រវត្តិកម្ម	ស・្・វ・័・យ・ប・្・រ・វ・ត・្・ត・ិ・ក・ម・្・ម
ខេត្តមណ្ឌលគីរី	ខ・េ・ត・្・ត・ម・ណ・្・ឌ・ល・គ・ី・រ・ី
អង្គរវត្ត	អ・ង・្・គ・រ・វ・ត・្・ត
វិភត្តិ	វ・ិ・ភ・ត・្・ត・ិ
វត្តអង្គ	វ・ត・្・ត・អ・ង・្・គ
ចៅអធិការវត្ត	ច・ៅ・អ・ធ・ិ・ក・ា・រ・វ・ត・្・ត
មិត្តភក្តិ	ម・ិ・ត・្・ត・ភ・ក・្・ត・ិ
វត្តពោធិ៍ទី	វ・ត・្・ត・ព・ោ・ធ・ិ・៍・ទ・ី
ចិត្តសប្បុរស	ច・ិ・ត・្・ត・ស・ប・្・ប・ុ・រ・ស
វត្តជ្រែ	វ・ត・្・ត・ជ・្・រ・ែ
វត្តសេដ្ឋី	វ・ត・្・ត・ស・េ・ដ・្・ឋ・ី
ប្រវត្តិវិទ្យា	ប・្・រ・វ・ត・្・ត・ិ・វ・ិ・ទ・្・យ・ា
គោកវត្ត	គ・ោ・ក・វ・ត・្・ត
មិត្ត	ម・ិ・ត・្・ត
វត្តលៀប	វ・ត・្・ត・ល・ៀ・ប
អ្នកប្រវត្តិសាស្ត្រ	អ・្・ន・ក・ប・្・រ・វ・ត・្・ត・ិ・ស・ា・ស・្・ត・្・រ
ធម្មយុត្តិកនិកាយ	ធ・ម・្・ម・យ・ុ・ត・្・ត・ិ・ក・ន・ិ・ក・ា・យ
ឧប្បត្តិ	ឧ・ប・្・ប・ត・្・ត・ិ
វត្តកណ្តាល	វ・ត・្・ត・ក・ណ・្・ត・ា・ល
ឧត្តមភាព	ឧ・ត・្・ត・ម・ភ・ា・ព
បង្អាក់ទឹកចិត្ត	ប・ង・្・អ・ា・ក・់・ទ・ឹ・ក・ច・ិ・ត・្・ត
ជាប់ចិត្ត	ជ・ា・ប・់・ច・ិ・ត・្・ត
កិត្តិ	ក・ិ・ត・្・ត・ិ
ស្នួលវត្ត	ស・្・ន・ួ・ល・វ・ត・្・ត
សមត្ត	ស・ម・ត・្・ត
កោះមិត្ត	ក・ោ・ះ・ម・ិ・ត・្・ត
អនត្តា	អ・ន・ត・្・ត・ា
វត្តនី	វ・ត・្・ត・ន・ី
ឧត្តមស្នងការ	ឧ・ត・្・ត・ម・ស・្・ន・ង・ក・ា・រ
វិវិត្ត	វ・ិ・វ・ិ・ត・្・ត
ស្គាល់ចិត្ត	ស・្・គ・ា・ល・់・ច・ិ・ត・្・ត
អាចារ្យវត្ត	អ・ា・ច・ា・រ・្・យ・វ・ត・្・ត
ចិត្តខ្មៅ	ច・ិ・ត・្・ត・ខ・្・ម・ៅ
និមិត្តសញ្ញា	ន・ិ・ម・ិ・ត・្・ត・ស・ញ・្・ញ・ា
ឯកឧត្តម	ឯ・ក・ឧ・ត・្・ត・ម
មានវិបត្តិ	ម・ា・ន・វ・ិ・ប・ត・្・ត・ិ
វិមុត្ត	វ・ិ・ម・ុ・ត・្・ត
អនុវត្តន៍	អ・ន・ុ・វ・ត・្・ត・ន・៍
រង្វាន់លួងចិត្ត	រ・ង・្・វ・ា・ន・់・ល・ួ・ង・ច・ិ・ត・្・ត
និមិត្ត	ន・ិ・ម・ិ・ត・្・ត
សំរោងវត្ត	ស・ំ・រ・ោ・ង・វ・ត・្・ត
វត្តិ	វ・ត・្・ត・ិ
បំណងចិត្ត	ប・ំ・ណ・ង・ច・ិ・ត・្・ត
ភាពស្កប់ចិត្ត	ភ・ា・ព・ស・្・ក・ប・់・ច・ិ・ត・្・ត
អត់ចិត្ត	អ・ត・់・ច・ិ・ត・្・ត
បដិវត្ត	ប・ដ・ិ・វ・ត・្・ត
វត្តអារាម	វ・ត・្・ត・អ・ា・រ・ា・ម
គុត្តសត	គ・ុ・ត・្・ត・ស・ត
ឱត្តប្ប	ឱ・ត・្・ត・ប・្・ប
ចិត្តរីករាយ	ច・ិ・ត・្・ត・រ・ី・ក・រ・ា・យ
សុខចិត្ត	ស・ុ・ខ・ច・ិ・ត・្・ត
មេត្តាករុណា	ម・េ・ត・្・ត・ា・ក・រ・ុ・ណ・ា
ខាងលិចវត្ត	ខ・ា・ង・ល・ិ・ច・វ・ត・្・ត
ការប្ដេជ្ញាចិត្ត	ក・ា・រ・ប・្・ដ・េ・ជ・្・ញ・ា・ច・ិ・ត・្・ត
ខាំមាត់សង្កត់ចិត្ត	ខ・ា・ំ・ម・ា・ត・់・ស・ង・្・ក・ត・់・ច・ិ・ត・្・ត
បាក់ទឹកចិត្ត	ប・ា・ក・់・ទ・ឹ・ក・ច・ិ・ត・្・ត
តាមអំពើចិត្ត	ត・ា・ម・អ・ំ・ព・ើ・ច・ិ・ត・្・ត
ចំណងមិត្តភាព	ច・ំ・ណ・ង・ម・ិ・ត・្・ត・ភ・ា・ព
វេរភត្ត	វ・េ・រ・ភ・ត・្・ត
