សមសក្ដានុភូត	សម|សក្ដានុភូត	ស・ម・ស・ក・្・ដ・ា・ន・ុ・ភ・ូ・ត
សមសក្ដិ	សម|សក្ដិ	ស・ម・ស・ក・្・ដ・ិ
សមស័ក្ដិ	សមស័ក្ដិ	ស・ម・ស・័・ក・្・ដ・ិ
សាពិភ័ក្ដិ	សាពិភ័ក្ដិ	ស・ា・ព・ិ・ភ・័・ក・្・ដ・ិ
សាមីភ័ក្ដិ	សាមីភ័ក្ដិ	ស・ា・ម・ី・ភ・័・ក・្・ដ・ិ
សាលាជម្រះក្ដី	សាលា|ជម្រះ|ក្ដី	ស・ា・ល・ា・ជ・ម・្・រ・ះ・ក・្・ដ・ី
សាលាដក្ដោប	សាលាដ|ក្ដោប	ស・ា・ល・ា・ដ・ក・្・ដ・ោ・ប
សាឡាត់ក្ដោប	សាឡាត់|ក្ដោប	ស・ា・ឡ・ា・ត・់・ក・្・ដ・ោ・ប
សិទ្ធិស័ក្ដិ	សិទ្ធិ|ស័ក្ដិ	ស・ិ・ទ・្・ធ・ិ・ស・័・ក・្・ដ・ិ
សុយម៉េៈក្ដាមប្រៃ	សុយ|ម៉េៈ|ក្ដាម|ប្រៃ	ស・ុ・យ・ម・៉・េ・ៈ・ក・្・ដ・ា・ម・ប・្・រ・ៃ
សេចក្ដាំ	សេចក្ដាំ	ស・េ・ច・ក・្・ដ・ា・ំ
សេចក្ដី	សេចក្ដី	ស・េ・ច・ក・្・ដ・ី
សេចក្ដីថ្លែងការណ៍	សេចក្ដី|ថ្លែង|ការណ៍	ស・េ・ច・ក・្・ដ・ី・ថ・្・ល・ែ・ង・ក・ា・រ・ណ・៍
សេចក្ដីប្រកាសព័ត៌មាន	សេចក្ដី|ប្រកាស|ព័ត៌មាន	ស・េ・ច・ក・្・ដ・ី・ប・្・រ・ក・ា・ស・ព・័・ត・៌・ម・ា・ន
សេចក្ដីព្រាងច្បាប់	សេចក្ដី|ព្រាង|ច្បាប់	ស・េ・ច・ក・្・ដ・ី・ព・្・រ・ា・ង・ច・្・ប・ា・ប・់
សេចក្ដីយ៉	សេចក្ដី|យ៉	ស・េ・ច・ក・្・ដ・ី・យ・៉
សេចក្ដីរាក់	សេចក្ដី|រាក់	ស・េ・ច・ក・្・ដ・ី・រ・ា・ក・់
