កុម្មុយនីស្ដ	ក・ុ・ម・្・ម・ុ・យ・ន・ី・ស・្・ដ
ឡាយព្រះហស្ដ	ឡ・ា・យ・ព・្・រ・ះ・ហ・ស・្・ដ
ឡាយព្រះហស្ដលេខា	ឡ・ា・យ・ព・្・រ・ះ・ហ・ស・្・ដ・ល・េ・ខ・ា
ឡើងស្រីសួស្ដី	ឡ・ើ・ង・ស・្・រ・ី・ស・ួ・ស・្・ដ・ី
អង្គុលីវេស្ដ	អ・ង・្・គ・ុ・ល・ី・វ・េ・ស・្・ដ
អចេស្ដា	អ・ច・េ・ស・្・ដ・ា
អប្បគ្ឃព័ស្ដុ	អ・ប・្・ប・គ・្・ឃ・ព・័・ស・្・ដ・ុ
អស្ដង្គត	អ・ស・្・ដ・ង・្・គ・ត
ពេលអស្ដង្គត	ព・េ・ល・អ・ស・្・ដ・ង・្・គ・ត
អស្ដង្គតកាល	អ・ស・្・ដ・ង・្・គ・ត・ក・ា・ល
អស្ដង្គតវេលា	អ・ស・្・ដ・ង・្・គ・ត・វ・េ・ល・ា
អស្ដង្គតសម័យ	អ・ស・្・ដ・ង・្・គ・ត・ស・ម・័・យ
អស្ដង្គតសូរ្យ	អ・ស・្・ដ・ង・្・គ・ត・ស・ូ・រ・្・យ
អស្ដង្គតសូរ្យា	អ・ស・្・ដ・ង・្・គ・ត・ស・ូ・រ・្・យ・ា
អស្ដង្គតសូរ្យោ	អ・ស・្・ដ・ង・្・គ・ត・ស・ូ・រ・្・យ・ោ
អស្ដង្គត—	អ・ស・្・ដ・ង・្・គ・ត・—
អស្ដង្គមន៍	អ・ស・្・ដ・ង・្・គ・ម・ន・៍
អស្ដា	អ・ស・្・ដ・ា
អស្ដាង្គ	អ・ស・្・ដ・ា・ង・្・គ
អស្ដាង្គសីល	អ・ស・្・ដ・ា・ង・្・គ・ស・ី・ល
អស្ដាង្គិកសីល	អ・ស・្・ដ・ា・ង・្・គ・ិ・ក・ស・ី・ល
អស្ដាពីស	អ・ស・្・ដ・ា・ព・ី・ស
អស្ដារ្យសង្ឃ	អ・ស・្・ដ・ា・រ・្・យ・ស・ង・្・ឃ
អស្ដាលេខ	អ・ស・្・ដ・ា・ល・េ・ខ
អស្ដា	អ・ស・្・ដ・ា
អស្ដា—	អ・ស・្・ដ・ា・—
អស្ដិទស្សនវិជ្ជា	អ・ស・្・ដ・ិ・ទ・ស・្・ស・ន・វ・ិ・ជ・្・ជ・ា
អារាមស្ដូប	អ・ា・រ・ា・ម・ស・្・ដ・ូ・ប
អឹមអៀមស្ងៀមជាជាងស្ដី ស៊ីចេកខ្ចីជាជាងនៅមាត់ទទេ	អ・ឹ・ម・អ・ៀ・ម・ស・្・ង・ៀ・ម・ជ・ា・ជ・ា・ង・ស・្・ដ・ី・ ・ស・៊・ី・ច・េ・ក・ខ・្・ច・ី・ជ・ា・ជ・ា・ង・ន・ៅ・ម・ា・ត・់・ទ・ទ・េ
ចតុស្ដម្ភ	ច・ត・ុ・ស・្・ដ・ម・្・ភ
ផ្លូវស្ដាំ	ផ・្・ល・ូ・វ・ស・្・ដ・ា・ំ
ពិស្ដារ	ព・ិ・ស・្・ដ・ា・រ
ព្រះស្ដែង	ព・្・រ・ះ・ស・្・ដ・ែ・ង
