កករចិត្ត	កករ|ចិត្ត	ក・ក・រ・ច・ិ・ត・្・ត
ដាក់ចិត្តដាក់កាយ	ដាក់|ចិត្ត|ដាក់|កាយ	ដ・ា・ក・់・ច・ិ・ត・្・ត・ដ・ា・ក・់・ក・ា・យ
ដាច់ចិត្ត	ដាច់|ចិត្ត	ដ・ា・ច・់・ច・ិ・ត・្・ត
ដាច់ចិត្តភឹង	ដាច់|ចិត្ត|ភឹង	ដ・ា・ច・់・ច・ិ・ត・្・ត・ភ・ឹ・ង
ដឹងចិត្តដឹងថ្លើម	ដឹង|ចិត្ត|ដឹង|ថ្លើម	ដ・ឹ・ង・ច・ិ・ត・្・ត・ដ・ឹ・ង・ថ・្・ល・ើ・ម
ដួងចិត្ត	ដួង|ចិត្ត	ដ・ួ・ង・ច・ិ・ត・្・ត
ដំបូងចិត្ត	ដំបូង|ចិត្ត	ដ・ំ・ប・ូ・ង・ច・ិ・ត・្・ត
ដំបៅចិត្ត	ដំបៅ|ចិត្ត	ដ・ំ・ប・ៅ・ច・ិ・ត・្・ត
ណាយចិត្ត	ណាយ|ចិត្ត	ណ・ា・យ・ច・ិ・ត・្・ត
តតិយាវិភត្តិ	តតិយា|វិភត្តិ	ត・ត・ិ・យ・ា・វ・ិ・ភ・ត・្・ត・ិ
តម្កល់ចិត្ត	តម្កល់|ចិត្ត	ត・ម・្・ក・ល・់・ច・ិ・ត・្・ត
តរុណបុត្ត	តរុណ|បុត្ត	ត・រ・ុ・ណ・ប・ុ・ត・្・ត
តាមអំណាចចិត្ត	តាម|អំណាច|ចិត្ត	ត・ា・ម・អ・ំ・ណ・ា・ច・ច・ិ・ត・្・ត
តាវត្តិង្ស	តាវត្តិង្ស	ត・ា・វ・ត・្・ត・ិ・ង・្・ស
តាំងចិត្ត	តាំង|ចិត្ត	ត・ា・ំ・ង・ច・ិ・ត・្・ត
តឹងចិត្ត	តឹង|ចិត្ត	ត・ឹ・ង・ច・ិ・ត・្・ត
តុលាការយុត្តិធម៌អន្តរជាតិ	តុលាការ|យុត្តិធម៌|អន្តរ|ជាតិ	ត・ុ・ល・ា・ក・ា・រ・យ・ុ・ត・្・ត・ិ・ធ・ម・៌・អ・ន・្・ត・រ・ជ・ា・ត・ិ
តូចចិត្ត	តូច|ចិត្ត	ត・ូ・ច・ច・ិ・ត・្・ត
តំណឹងចិត្ត	តំណឹង|ចិត្ត	ត・ំ・ណ・ឹ・ង・ច・ិ・ត・្・ត
ត្រណាក់ចិត្ត	ត្រណាក់|ចិត្ត	ត・្・រ・ណ・ា・ក・់・ច・ិ・ត・្・ត
ត្រមោងចិត្ត	ត្រមោង|ចិត្ត	ត・្・រ・ម・ោ・ង・ច・ិ・ត・្・ត
ត្រីពិធសម្បត្តិ	ត្រី|ពិធ|សម្បត្តិ	ត・្・រ・ី・ព・ិ・ធ・ស・ម・្・ប・ត・្・ត・ិ
ត្រូវចិត្ត	ត្រូវ|ចិត្ត	ត・្・រ・ូ・វ・ច・ិ・ត・្・ត
ត្រៃពិធសម្បត្តិ	ត្រៃ|ពិធ|សម្បត្តិ	ត・្・រ・ៃ・ព・ិ・ធ・ស・ម・្・ប・ត・្・ត・ិ
ត្រៃភូមិកចិត្ត	ត្រៃ|ភូមិក|ចិត្ត	ត・្・រ・ៃ・ភ・ូ・ម・ិ・ក・ច・ិ・ត・្・ត
ថវិកាខេត្ត	ថវិកា|ខេត្ត	ថ・វ・ិ・ក・ា・ខ・េ・ត・្・ត
ថេយ្យចិត្ត	ថេយ្យ|ចិត្ត	ថ・េ・យ・្・យ・ច・ិ・ត・្・ត
ថ្នាក់ឧត្តម	ថ្នាក់|ឧត្តម	ថ・្・ន・ា・ក・់・ឧ・ត・្・ត・ម
ថ្លាចិត្ត	ថ្លា|ចិត្ត	ថ・្・ល・ា・ច・ិ・ត・្・ត
ថ្លោសចិត្តថ្លោសគំនិត	ថ្លោស|ចិត្ត|ថ្លោស|គំនិត	ថ・្・ល・ោ・ស・ច・ិ・ត・្・ត・ថ・្・ល・ោ・ស・គ・ំ・ន・ិ・ត
ទត្តាត្រេយ	ទត្តា|ត្រេយ	ទ・ត・្・ត・ា・ត・្・រ・េ・យ
ទន្ទ្រានខេត្ត	ទន្ទ្រាន|ខេត្ត	ទ・ន・្・ទ・្・រ・ា・ន・ខ・េ・ត・្・ត
ទម្លាក់ចិត្ត	ទម្លាក់|ចិត្ត	ទ・ម・្・ល・ា・ក・់・ច・ិ・ត・្・ត
ទឡ្ហមិត្ត	ទឡ្ហ|មិត្ត	ទ・ឡ・្・ហ・ម・ិ・ត・្・ត
ទាន់ចិត្ត	ទាន់|ចិត្ត	ទ・ា・ន・់・ច・ិ・ត・្・ត
ទារុណវិបត្ត	ទារុណ|វិបត្ត	ទ・ា・រ・ុ・ណ・វ・ិ・ប・ត・្・ត
ទារុណវិបត្តិ 	ទារុណ|វិបត្តិ	ទ・ា・រ・ុ・ណ・វ・ិ・ប・ត・្・ត・ិ・ 
ទាស់ចិត្ត	ទាស់|ចិត្ត	ទ・ា・ស・់・ច・ិ・ត・្・ត
ទាហានស្ម័គ្រចិត្ត	ទាហាន|ស្ម័គ្រ|ចិត្ត	ទ・ា・ហ・ា・ន・ស・្・ម・័・គ・្・រ・ច・ិ・ត・្・ត
