កករចិត្ត	កករ|ចិត្ត	ក・ក・រ・ច・ិ・ត・្・ត
អត្តាភិបាល	អត្តាភិបាល	អ・ត・្・ត・ា・ភ・ិ・ប・ា・ល
អត្តាវសនិយម	អត្តាវ|សនិយម	អ・ត・្・ត・ា・វ・ស・ន・ិ・យ・ម
អត្តាវសាធិបតេយ្យ	អត្តាវ|សាធិបតេយ្យ	អ・ត・្・ត・ា・វ・ស・ា・ធ・ិ・ប・ត・េ・យ・្・យ
អត្តាវសិក	អត្តាវ|សិក	អ・ត・្・ត・ា・វ・ស・ិ・ក
អត្តាវសី	អត្តាវ|សី	អ・ត・្・ត・ា・វ・ស・ី
អត្តា—	អត្តា—	អ・ត・្・ត・ា・—
អត្តុក្កង្សនកថា	អត្តុក្កង្ស|នក|ថា	អ・ត・្・ត・ុ・ក・្・ក・ង・្・ស・ន・ក・ថ・ា
អត្តុក្កង្សនភាព	អត្តុក្កង្សន|ភាព	អ・ត・្・ត・ុ・ក・្・ក・ង・្・ស・ន・ភ・ា・ព
អត្តុ—	អត្តុ—	អ・ត・្・ត・ុ・—
អត្តូបជីវ	អត្តូប|ជីវ	អ・ត・្・ត・ូ・ប・ជ・ី・វ
អត្តូបជីវិនី	អត្តូប|ជីវិនី	អ・ត・្・ត・ូ・ប・ជ・ី・វ・ិ・ន・ី
អត្តូបជីវី	អត្តូប|ជីវី	អ・ត・្・ត・ូ・ប・ជ・ី・វ・ី
អត្តៈ	អត្តៈ	អ・ត・្・ត・ៈ
អត្ត—	អត្ត—	អ・ត・្・ត・—
អត្ថវិបត្តិ	អត្ថ|វិបត្តិ	អ・ត・្・ថ・វ・ិ・ប・ត・្・ត・ិ
អទត្តពល	អទត្ត|ពល	អ・ទ・ត・្・ត・ព・ល
អទិដ្ឋមិត្ត	អទិដ្ឋ|មិត្ត	អ・ទ・ិ・ដ・្・ឋ・ម・ិ・ត・្・ត
អធិចិត្ត	អធិចិត្ត	អ・ធ・ិ・ច・ិ・ត・្・ត
អធិចិត្តសិក្ខា	អធិចិត្ត|សិក្ខា	អ・ធ・ិ・ច・ិ・ត・្・ត・ស・ិ・ក・្・ខ・ា
អធិមត្ត	អធិមត្ត	អ・ធ・ិ・ម・ត・្・ត
អធិមុត្តិ	អធិមុត្តិ	អ・ធ・ិ・ម・ុ・ត・្・ត・ិ
អធិមុត្តិនិយម	អធិមុត្តិ|និយម	អ・ធ・ិ・ម・ុ・ត・្・ត・ិ・ន・ិ・យ・ម
អធិមុត្តិភាព	អធិមុត្តិភាព	អ・ធ・ិ・ម・ុ・ត・្・ត・ិ・ភ・ា・ព
អធ្យុត្តម	អធ្យុត្តម	អ・ធ・្・យ・ុ・ត・្・ត・ម
អនត្តលក្ខណ	អនត្ត|លក្ខណ	អ・ន・ត・្・ត・ល・ក・្・ខ・ណ
អនត្តលក្ខណៈ	អនត្ត|លក្ខណៈ	អ・ន・ត・្・ត・ល・ក・្・ខ・ណ・ៈ
អនត្តសញ្ញា	អនត្ត|សញ្ញា	អ・ន・ត・្・ត・ស・ញ・្・ញ・ា
អនត្តា	អនត្តា	អ・ន・ត・្・ត・ា
អនត្តាធីន	អនត្តា|ធីន	អ・ន・ត・្・ត・ា・ធ・ី・ន
អនត្តានុបស្សនា	អនត្តានុបស្សនា	អ・ន・ត・្・ត・ា・ន・ុ・ប・ស・្・ស・ន・ា
អនត្តានុបស្សិន	អនត្តានុបស្សិន	អ・ន・ត・្・ត・ា・ន・ុ・ប・ស・្・ស・ិ・ន
អនត្តានុបស្សិនី	អនត្តានុបស្សិនី	អ・ន・ត・្・ត・ា・ន・ុ・ប・ស・្・ស・ិ・ន・ី
អនត្តានុបស្សី	អនត្តានុបស្សី	អ・ន・ត・្・ត・ា・ន・ុ・ប・ស・្・ស・ី
អនត្តា—	អនត្តា—	អ・ន・ត・្・ត・ា・—
អនភិសិត្តរាជ	អន|ភិសិត្ត|រាជ	អ・ន・ភ・ិ・ស・ិ・ត・្・ត・រ・ា・ជ
អនាទរមិត្ត	អនាទរ|មិត្ត	អ・ន・ា・ទ・រ・ម・ិ・ត・្・ត
អនាទរាបត្តិ	អនាទ|រាបត្តិ	អ・ន・ា・ទ・រ・ា・ប・ត・្・ត・ិ
អនាបត្តិ	អនាបត្តិ	អ・ន・ា・ប・ត・្・ត・ិ
អនិមិត្ត	អនិមិត្ត	អ・ន・ិ・ម・ិ・ត・្・ត
អនិមិត្តភាព	អនិមិត្ត|ភាព	អ・ន・ិ・ម・ិ・ត・្・ត・ភ・ា・ព
អនិស្សយមុត្តក	អនិស្ស|យមុត្តក	អ・ន・ិ・ស・្・ស・យ・ម・ុ・ត・្・ត・ក
អនិស្សយមុត្តក៍	អនិស្ស|យមុត្តក៍	អ・ន・ិ・ស・្・ស・យ・ម・ុ・ត・្・ត・ក・៍
អនិស្សយមុត្តិកា	អនិស្ស|យមុត្តិកា	អ・ន・ិ・ស・្・ស・យ・ម・ុ・ត・្・ត・ិ・ក・ា
អនីតិជនអត្តាធីន	អនីតិ|ជន|អត្តា|ធីន	អ・ន・ី・ត・ិ・ជ・ន・អ・ត・្・ត・ា・ធ・ី・ន
អនុកម្បចិត្ត	អនុកម្បចិត្ត	អ・ន・ុ・ក・ម・្・ប・ច・ិ・ត・្・ត
អនុជាតបុត្ត	អនុជាត|បុត្ត	អ・ន・ុ・ជ・ា・ត・ប・ុ・ត・្・ត
អនុត្តរ	អនុត្តរ	អ・ន・ុ・ត・្・ត・រ
អនុត្តរធម៌	អនុត្តរ|ធម៌	អ・ន・ុ・ត・្・ត・រ・ធ・ម・៌
អនុត្តរបុគ្គល	អនុត្តរ|បុគ្គល	អ・ន・ុ・ត・្・ត・រ・ប・ុ・គ・្・គ・ល
អនុត្តរភាព	អនុត្តរ|ភាព	អ・ន・ុ・ត・្・ត・រ・ភ・ា・ព
អនុត្តរភាពនិយម	អនុត្តរ|ភាព|និយម	អ・ន・ុ・ត・្・ត・រ・ភ・ា・ព・ន・ិ・យ・ម
អនុត្តរសម្ពោធិញ្ញាណ	អនុត្តរ|សម្ពោធិញ្ញាណ	អ・ន・ុ・ត・្・ត・រ・ស・ម・្・ព・ោ・ធ・ិ・ញ・្・ញ・ា・ណ
អនុត្តរសម្មាសម្ពោធិ	អនុត្តរ|សម្មា|សម្ពោធិ	អ・ន・ុ・ត・្・ត・រ・ស・ម・្・ម・ា・ស・ម・្・ព・ោ・ធ・ិ
អនុប្បញ្ញត្តិ	អនុប្បញ្ញត្តិ	អ・ន・ុ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
អនុវត្ត	អនុវត្ត	អ・ន・ុ・វ・ត・្・ត
អនុវត្តន៍	អនុវត្តន៍	អ・ន・ុ・វ・ត・្・ត・ន・៍
អនុវត្តិ	អនុវត្តិ	អ・ន・ុ・វ・ត・្・ត・ិ
អនោតត្ត	អនោត|ត្ត	អ・ន・ោ・ត・ត・្・ត
អនោតត្តស្រះ	អនោត|ត្ត|ស្រះ	អ・ន・ោ・ត・ត・្・ត・ស・្・រ・ះ
អនោមកសត្ត	អនោមក|សត្ត	អ・ន・ោ・ម・ក・ស・ត・្・ត
អនោមសត្ត	អនោម|សត្ត	អ・ន・ោ・ម・ស・ត・្・ត
អន់ចិត្ត	អន់|ចិត្ត	អ・ន・់・ច・ិ・ត・្・ត
អន្តរចិត្តវិជ្ជា	អន្តរ|ចិត្ត|វិជ្ជា	អ・ន・្・ត・រ・ច・ិ・ត・្・ត・វ・ិ・ជ・្・ជ・ា
អន្តរត្តិភាព	អន្តរ|ត្តិភាព	អ・ន・្・ត・រ・ត・្・ត・ិ・ភ・ា・ព
អន្តរប្បញ្ញត្តិ	អន្តរ|ប្បញ្ញត្តិ	អ・ន・្・ត・រ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
អន្តរាបត្តិ	អន្តរាបត្តិ	អ・ន・្・ត・រ・ា・ប・ត・្・ត・ិ
អន្តិមត្តភាព	អន្តិ|មត្ត|ភាព	អ・ន・្・ត・ិ・ម・ត・្・ត・ភ・ា・ព
អបចិត្ត	អបចិត្ត	អ・ប・ច・ិ・ត・្・ត
អបាយមុខុម្មត្តកៈ	អបាយ|មុខុម្មត្តកៈ	អ・ប・ា・យ・ម・ុ・ខ・ុ・ម・្・ម・ត・្・ត・ក・ៈ
អបាយសត្ត	អបាយ|សត្ត	អ・ប・ា・យ・ស・ត・្・ត
អបាយសំវត្តនិក	អបាយ|សំវត្ត|និក	អ・ប・ា・យ・ស・ំ・វ・ត・្・ត・ន・ិ・ក
អបុត្តក	អបុត្តក	អ・ប・ុ・ត・្・ត・ក
អបុត្តកោ	អបុត្ត|កោ	អ・ប・ុ・ត・្・ត・ក・ោ
អបុត្តកៈ	អបុត្តកៈ	អ・ប・ុ・ត・្・ត・ក・ៈ
អបុត្តិកា	អបុត្តិកា	អ・ប・ុ・ត・្・ត・ិ・ក・ា
អប្បដិឃចិត្ត	អប្បដិឃ|ចិត្ត	អ・ប・្・ប・ដ・ិ・ឃ・ច・ិ・ត・្・ត
អប្បដិបត្តិ	អប្បដិបត្តិ	អ・ប・្・ប・ដ・ិ・ប・ត・្・ត・ិ
អប្បដិវត្ត	អប្បដិវត្ត	អ・ប・្・ប・ដ・ិ・វ・ត・្・ត
អប្បដិវត្តន៍	អប្បដិវត្តន៍	អ・ប・្・ប・ដ・ិ・វ・ត・្・ត・ន・៍
អប្បដិវត្តិយកម្ម	អប្បដិវត្តិយ|កម្ម	អ・ប・្・ប・ដ・ិ・វ・ត・្・ត・ិ・យ・ក・ម・្・ម
អប្បដិវត្តិយៈ	អប្បដិវត្តិយៈ	អ・ប・្・ប・ដ・ិ・វ・ត・្・ត・ិ・យ・ៈ
អប្បដិវត្តិយ៍	អប្បដិវត្តិយ៍	អ・ប・្・ប・ដ・ិ・វ・ត・្・ត・ិ・យ・៍
អប្បនាចិត្ត	អប្បនា|ចិត្ត	អ・ប・្・ប・ន・ា・ច・ិ・ត・្・ត
អប្បិយបុត្ត	អប្បិយ|បុត្ត	អ・ប・្・ប・ិ・យ・ប・ុ・ត・្・ត
អប្បេសក្ខទេវបុត្ត	អប្បេសក្ខ|ទេវ|បុត្ត	អ・ប・្・ប・េ・ស・ក・្・ខ・ទ・េ・វ・ប・ុ・ត・្・ត
អប្រតិឃចិត្ត	អប្រតិឃ|ចិត្ត	អ・ប・្・រ・ត・ិ・ឃ・ច・ិ・ត・្・ត
អព្ភមុត្ត	អព្ភ|មុត្ត	អ・ព・្・ភ・ម・ុ・ត・្・ត
អព្យត្ត	អព្យ|ត្ត	អ・ព・្・យ・ត・្・ត
អព្យត្តជន	អព្យ|ត្ត|ជន	អ・ព・្・យ・ត・្・ត・ជ・ន
អព្យត្តបុគ្គល	អព្យ|ត្ត|បុគ្គល	អ・ព・្・យ・ត・្・ត・ប・ុ・គ・្・គ・ល
អព្យត្តភាព	អព្យ|ត្ត|ភាព	អ・ព・្・យ・ត・្・ត・ភ・ា・ព
អព្យត្តវោហារ	អព្យ|ត្ត|វោហារ	អ・ព・្・យ・ត・្・ត・វ・ោ・ហ・ា・រ
អព្យត្តា	អព្យ|ត្តា	អ・ព・្・យ・ត・្・ត・ា
អព្យត្ត—	អព្យ|ត្ត—	អ・ព・្・យ・ត・្・ត・—
អព្យាកតចិត្ត	អព្យាកត|ចិត្ត	អ・ព・្・យ・ា・ក・ត・ច・ិ・ត・្・ត
អព្យ័ត្ត	អព្យ័ត្ត	អ・ព・្・យ・័・ត・្・ត
អភិគោត្ត	អភិគោត្ត	អ・ភ・ិ・គ・ោ・ត・្・ត
អភិបាលខេត្ត	អភិបាល|ខេត្ត	អ・ភ・ិ・ប・ា・ល・ខ・េ・ត・្・ត
អភិសមាចារិកវត្ត	អភិសមាចារិក|វត្ត	អ・ភ・ិ・ស・ម・ា・ច・ា・រ・ិ・ក・វ・ត・្・ត
អភិសិត្តរាជ	អភិសិត្ត|រាជ	អ・ភ・ិ・ស・ិ・ត・្・ត・រ・ា・ជ
អមត្តញ្ញុតា	អមត្តញ្ញុតា	អ・ម・ត・្・ត・ញ・្・ញ・ុ・ត・ា
អមត្តញ្ញូ	អមត្តញ្ញូ	អ・ម・ត・្・ត・ញ・្・ញ・ូ
អមិត្ត	អមិត្ត	អ・ម・ិ・ត・្・ត
អមិត្តតាបនា	អមិត្តតាបនា	អ・ម・ិ・ត・្・ត・ត・ា・ប・ន・ា
អមិត្តភាព	អមិត្ត|ភាព	អ・ម・ិ・ត・្・ត・ភ・ា・ព
អមោឃប្រតិបត្តិ	អមោឃ|ប្រតិបត្តិ	អ・ម・ោ・ឃ・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
អយុត្ត	អយុត្ត	អ・យ・ុ・ត・្・ត
អយុត្តកម្ម	អយុត្ត|កម្ម	អ・យ・ុ・ត・្・ត・ក・ម・្・ម
អយុត្តកិច្ច	អយុត្ត|កិច្ច	អ・យ・ុ・ត・្・ត・ក・ិ・ច・្・ច
អយុត្តធម៌	អយុត្ត|ធម៌	អ・យ・ុ・ត・្・ត・ធ・ម・៌
អយុត្តភាព	អយុត្ត|ភាព	អ・យ・ុ・ត・្・ត・ភ・ា・ព
អយុត្តរូប	អយុត្ត|រូប	អ・យ・ុ・ត・្・ត・រ・ូ・ប
អយុត្តវាចា	អយុត្ត|វាចា	អ・យ・ុ・ត・្・ត・វ・ា・ច・ា
អយុត្តវាទ	អយុត្ត|វាទ	អ・យ・ុ・ត・្・ត・វ・ា・ទ
អយុត្តវាទិនី	អយុត្ត|វា|ទិនី	អ・យ・ុ・ត・្・ត・វ・ា・ទ・ិ・ន・ី
អយុត្តវាទី	អយុត្ត|វាទី	អ・យ・ុ・ត・្・ត・វ・ា・ទ・ី
អយុត្តសន្និដ្ឋាន	អយុត្ត|សន្និដ្ឋាន	អ・យ・ុ・ត・្・ត・ស・ន・្・ន・ិ・ដ・្・ឋ・ា・ន
អយុត្តិធម៌	អយុត្តិធម៌	អ・យ・ុ・ត・្・ត・ិ・ធ・ម・៌
អយុត្ត—	អយុត្ត—	អ・យ・ុ・ត・្・ត・—
អយ្យបុត្ត	អយ្យបុត្ត	អ・យ・្・យ・ប・ុ・ត・្・ត
អរហត្ត	អរហត្ត	អ・រ・ហ・ត・្・ត
អរហត្តផ	អរហត្តផ	អ・រ・ហ・ត・្・ត・ផ
អរហត្តផល	អរហត្ត|ផល	អ・រ・ហ・ត・្・ត・ផ・ល
អរហត្តមគ្គ	អរហត្ត|មគ្គ	អ・រ・ហ・ត・្・ត・ម・គ・្・គ
អលោភចិត្ត	អលោភ|ចិត្ត	អ・ល・ោ・ភ・ច・ិ・ត・្・ត
អវជាតបុត្ត	អវជាត|បុត្ត	អ・វ・ជ・ា・ត・ប・ុ・ត・្・ត
អវត្តមាន	អវត្តមាន	អ・វ・ត・្・ត・ម・ា・ន
អវសានប្បញ្ញត្តិ	អវសាន|ប្បញ្ញត្តិ	អ・វ・ស・ា・ន・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
អសញ្ញីសត្ត	អសញ្ញី|សត្ត	អ・ស・ញ・្・ញ・ី・ស・ត・្・ត
អសាធារណប្បញ្ញត្តិ	អសាធារណប្បញ្ញត្តិ	អ・ស・ា・ធ・ា・រ・ណ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
អសុទ្ធចិត្ត	អសុទ្ធ|ចិត្ត	អ・ស・ុ・ទ・្・ធ・ច・ិ・ត・្・ត
អស់ចិត្ត	អស់|ចិត្ត	អ・ស・់・ច・ិ・ត・្・ត
អស្សុជលនេត្ត	អស្សុជល|នេត្ត	អ・ស・្・ស・ុ・ជ・ល・ន・េ・ត・្・ត
អហេតុកចិត្ត	អហេតុ|កចិត្ត	អ・ហ・េ・ត・ុ・ក・ច・ិ・ត・្・ត
អហេតុកសត្ត	អហេតុក|សត្ត	អ・ហ・េ・ត・ុ・ក・ស・ត・្・ត
អហោរត្ត	អហោរ|ត្ត	អ・ហ・ោ・រ・ត・្・ត
អាកុលចិត្ត	អាកុល|ចិត្ត	អ・ា・ក・ុ・ល・ច・ិ・ត・្・ត
អាក់អន់ស្រពន់ចិត្ត	អាក់អន់|ស្រពន់|ចិត្ត	អ・ា・ក・់・អ・ន・់・ស・្・រ・ព・ន・់・ច・ិ・ត・្・ត
អាក្រោធចិត្ត	អាក្រោធ|ចិត្ត	អ・ា・ក・្・រ・ោ・ធ・ច・ិ・ត・្・ត
អាគន្តុកភត្ត	អាគន្តុក|ភត្ត	អ・ា・គ・ន・្・ត・ុ・ក・ភ・ត・្・ត
អាគន្តុកវត្ត	អាគន្តុក|វត្ត	អ・ា・គ・ន・្・ត・ុ・ក・វ・ត・្・ត
អាឃាតវិមុត្ត	អាឃាត|វិមុត្ត	អ・ា・ឃ・ា・ត・វ・ិ・ម・ុ・ត・្・ត
អាចរិយមត្ត	អាច|រិយ|មត្ត	អ・ា・ច・រ・ិ・យ・ម・ត・្・ត
អាចរិយវត្ត	អាច|រិយ|វត្ត	អ・ា・ច・រ・ិ・យ・វ・ត・្・ត
អាចារវិបត្តិ	អាចារ|វិបត្តិ	អ・ា・ច・ា・រ・វ・ិ・ប・ត・្・ត・ិ
អាចារសម្បត្តិ	អាចារ|សម្បត្តិ	អ・ា・ច・ា・រ・ស・ម・្・ប・ត・្・ត・ិ
អាចារ្យវត្ត	អាចារ្យ|វត្ត	អ・ា・ច・ា・រ・្・យ・វ・ត・្・ត
អាចារ្យសម្រាប់វត្ត	អាចារ្យ|សម្រាប់|វត្ត	អ・ា・ច・ា・រ・្・យ・ស・ម・្・រ・ា・ប・់・វ・ត・្・ត
អាចិណ្ណវត្ត	អាចិណ្ណ|វត្ត	អ・ា・ច・ិ・ណ・្・ណ・វ・ត・្・ត
អាចិណ្ណសម្បត្តិ	អាចិណ្ណ|សម្បត្តិ	អ・ា・ច・ិ・ណ・្・ណ・ស・ម・្・ប・ត・្・ត・ិ
អាជីវប្បវុត្តិ	អាជីវប្បវុត្តិ	អ・ា・ជ・ី・វ・ប・្・ប・វ・ុ・ត・្・ត・ិ
អាជីវប្រព្រឹត្តិ	អាជីវ|ប្រព្រឹត្តិ	អ・ា・ជ・ី・វ・ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ
អាណត្តិ	អាណត្តិ	អ・ា・ណ・ត・្・ត・ិ
អាណត្តិកម្ម	អាណត្តិ|កម្ម	អ・ា・ណ・ត・្・ត・ិ・ក・ម・្・ម
អាណត្តិការណ៍	អាណត្តិ|ការណ៍	អ・ា・ណ・ត・្・ត・ិ・ក・ា・រ・ណ・៍
អាណត្តិកិរិយា	អាណត្តិ|កិរិយា	អ・ា・ណ・ត・្・ត・ិ・ក・ិ・រ・ិ・យ・ា
អាណត្តិទូរលិក	អាណត្តិ|ទូរលិក	អ・ា・ណ・ត・្・ត・ិ・ទ・ូ・រ・ល・ិ・ក
អាណត្តិពាក្យ	អាណត្តិ|ពាក្យ	អ・ា・ណ・ត・្・ត・ិ・ព・ា・ក・្・យ
អាណត្តិភាព	អាណត្តិភាព	អ・ា・ណ・ត・្・ត・ិ・ភ・ា・ព
អាណត្តិលក្ខណៈ	អាណត្តិ|លក្ខណៈ	អ・ា・ណ・ត・្・ត・ិ・ល・ក・្・ខ・ណ・ៈ
អាណត្តិលក្ខណ៍	អាណត្តិ|លក្ខណ៍	អ・ា・ណ・ត・្・ត・ិ・ល・ក・្・ខ・ណ・៍
អាណត្តិវាក្យ	អាណត្តិ|វាក្យ	អ・ា・ណ・ត・្・ត・ិ・វ・ា・ក・្・យ
អាណត្តិវាចា	អាណត្តិ|វាចា	អ・ា・ណ・ត・្・ត・ិ・វ・ា・ច・ា
អាណត្តិវាទ	អាណត្តិ|វាទ	អ・ា・ណ・ត・្・ត・ិ・វ・ា・ទ
អាណត្តិសញ្ញា	អាណត្តិ|សញ្ញា	អ・ា・ណ・ត・្・ត・ិ・ស・ញ・្・ញ・ា
អាណត្តិសព្ទ	អាណត្តិ|សព្ទ	អ・ា・ណ・ត・្・ត・ិ・ស・ព・្・ទ
អាណត្តិ—	អាណត្តិ—	អ・ា・ណ・ត・្・ត・ិ・—
អាណាខេត្ត	អាណា|ខេត្ត	អ・ា・ណ・ា・ខ・េ・ត・្・ត
អាណាបវត្តិ	អាណាប|វត្តិ	អ・ា・ណ・ា・ប・វ・ត・្・ត・ិ
អាទរប្រតិបត្តិ	អាទរ|ប្រតិបត្តិ	អ・ា・ទ・រ・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
អាទរមិត្ត	អាទរ|មិត្ត	អ・ា・ទ・រ・ម・ិ・ត・្・ត
អាទិច្ចគោត្ត	អាទិច្ច|គោត្ត	អ・ា・ទ・ិ・ច・្・ច・គ・ោ・ត・្・ត
អានាទរាបត្តិ	អានាទ|រាបត្តិ	អ・ា・ន・ា・ទ・រ・ា・ប・ត・្・ត・ិ
អាបត្តិ	អាបត្តិ	អ・ា・ប・ត・្・ត・ិ
អាបាយិកសត្ត	អា|បាយិក|សត្ត	អ・ា・ប・ា・យ・ិ・ក・ស・ត・្・ត
អាភោគចិត្ត	អា|ភោគ|ចិត្ត	អ・ា・ភ・ោ・គ・ច・ិ・ត・្・ត
អាមកភត្ត	អា|មក|ភត្ត	អ・ា・ម・ក・ភ・ត・្・ត
អាយុត្តកដ្ឋាន	អាយុ|ត្ត|កដ្ឋាន	អ・ា・យ・ុ・ត・្・ត・ក・ដ・្・ឋ・ា・ន
អាយុត្តកៈ	អាយុត្តកៈ	អ・ា・យ・ុ・ត・្・ត・ក・ៈ
អារម្ភចិត្ត	អារម្ភ|ចិត្ត	អ・ា・រ・ម・្・ភ・ច・ិ・ត・្・ត
អាវាសិកវត្ត	អាវាសិក|វត្ត	អ・ា・វ・ា・ស・ិ・ក・វ・ត・្・ត
អំណាចនីតិបញ្ញត្តិ	អំណាច|នីតិ|បញ្ញត្តិ	អ・ំ・ណ・ា・ច・ន・ី・ត・ិ・ប・ញ・្・ញ・ត・្・ត・ិ
អំណាចនីតិប្បញ្ញត្តិ	អំណាច|នីតិ|ប្បញ្ញត្តិ	អ・ំ・ណ・ា・ច・ន・ី・ត・ិ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
អំណាចនីតិប្រតិបត្តិ	អំណាច|នីតិ|ប្រតិបត្តិ	អ・ំ・ណ・ា・ច・ន・ី・ត・ិ・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
ឥតិវុត្តក	ឥតិវុត្តក	ឥ・ត・ិ・វ・ុ・ត・្・ត・ក
ឥត្ថីកុត្ត	ឥត្ថី|កុត្ត	ឥ・ត・្・ថ・ី・ក・ុ・ត・្・ត
ឥត្ថីធុត្តភាព	ឥត្ថី|ធុត្ត|ភាព	ឥ・ត・្・ថ・ី・ធ・ុ・ត・្・ត・ភ・ា・ព
ឥត្ថីធុត្តៈ	ឥត្ថី|ធុត្តៈ	ឥ・ត・្・ថ・ី・ធ・ុ・ត・្・ត・ៈ
ឥត្ថុម្មត្តកៈ	ឥត្ថុ|ម្មត្តកៈ	ឥ・ត・្・ថ・ុ・ម・្・ម・ត・្・ត・ក・ៈ
ឥធលោកត្តភាព	ឥធ|លោក|ត្ត|ភាព	ឥ・ធ・ល・ោ・ក・ត・្・ត・ភ・ា・ព
ឥន្ទបត្ត	ឥន្ទ|បត្ត	ឥ・ន・្・ទ・ប・ត・្・ត
ឥរិយាបថបរិវត្តន៍	ឥរិយាបថ|បរិវត្តន៍	ឥ・រ・ិ・យ・ា・ប・ថ・ប・រ・ិ・វ・ត・្・ត・ន・៍
ឥរិយាបថសម្បត្តិ	ឥរិយាបថ|សម្បត្តិ	ឥ・រ・ិ・យ・ា・ប・ថ・ស・ម・្・ប・ត・្・ត・ិ
ឥស្សរចិត្ត	ឥស្សរ|ចិត្ត	ឥ・ស・្・ស・រ・ច・ិ・ត・្・ត
ឧក្កដ្ឋប្បញ្ញត្តិ	ឧក្កដ្ឋប្បញ្ញត្តិ	ឧ・ក・្・ក・ដ・្・ឋ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
ឧក្កដ្ឋប្បដិបត្តិ	ឧក្កដ្ឋប្បដិបត្តិ	ឧ・ក・្・ក・ដ・្・ឋ・ប・្・ប・ដ・ិ・ប・ត・្・ត・ិ
ឧគ្គហនិមិត្ត	ឧគ្គហ|និមិត្ត	ឧ・គ・្・គ・ហ・ន・ិ・ម・ិ・ត・្・ត
ឧច្ចគោត្ត	ឧច្ច|គោត្ត	ឧ・ច・្・ច・គ・ោ・ត・្・ត
ឧច្ឆត្ត	ឧច្ឆត្ត	ឧ・ច・្・ឆ・ត・្・ត
ឧច្ឆត្តកូល	ឧច្ឆត្ត|កូល	ឧ・ច・្・ឆ・ត・្・ត・ក・ូ・ល
ឧច្ឆត្តជាតិ	ឧច្ឆត្ត|ជាតិ	ឧ・ច・្・ឆ・ត・្・ត・ជ・ា・ត・ិ
ឧច្ឆត្តបុស្ប	ឧច្ឆត្ត|បុស្ប	ឧ・ច・្・ឆ・ត・្・ត・ប・ុ・ស・្・ប
ឧជុចិត្ត	ឧជុចិត្ត	ឧ・ជ・ុ・ច・ិ・ត・្・ត
ឧជុបត្តសត្វ	ឧជុបត្ត|សត្វ	ឧ・ជ・ុ・ប・ត・្・ត・ស・ត・្・វ
ឧជុប្បដិបត្តិ	ឧជុប្បដិបត្តិ	ឧ・ជ・ុ・ប・្・ប・ដ・ិ・ប・ត・្・ត・ិ
ឧដុង្គឧត្តម	ឧដុង្គឧត្តម	ឧ・ដ・ុ・ង・្・គ・ឧ・ត・្・ត・ម
ឧណ្ហចិត្ត	ឧណ្ហ|ចិត្ត	ឧ・ណ・្・ហ・ច・ិ・ត・្・ត
ឧណ្ហ៍ចិត្ត	ឧណ្ហ៍|ចិត្ត	ឧ・ណ・្・ហ・៍・ច・ិ・ត・្・ត
ឧត្តម	ឧត្តម	ឧ・ត・្・ត・ម
ឧត្តមគតិ	ឧត្តម|គតិ	ឧ・ត・្・ត・ម・គ・ត・ិ
ឧត្តមគតិរឿង	ឧត្តម|គតិ|រឿង	ឧ・ត・្・ត・ម・គ・ត・ិ・រ・ឿ・ង
ឧត្តមគន្ធ	ឧត្តម|គន្ធ	ឧ・ត・្・ត・ម・គ・ន・្・ធ
ឧត្តមគោត្ត	ឧត្តម|គោត្ត	ឧ・ត・្・ត・ម・គ・ោ・ត・្・ត
ឧត្តមគោត្ត	ឧត្តម|គោត្ត	ឧ・ត・្・ត・ម・គ・ោ・ត・្・ត
ឧត្តមគោត្រ	ឧត្តម|គោត្រ	ឧ・ត・្・ត・ម・គ・ោ・ត・្・រ
ឧត្តមគ្រឹហា	ឧត្តម|គ្រឹហា	ឧ・ត・្・ត・ម・គ・្・រ・ឹ・ហ・ា
ឧត្តមគ្រឹះ	ឧត្តម|គ្រឹះ	ឧ・ត・្・ត・ម・គ・្・រ・ឹ・ះ
ឧត្តមង្គ	ឧត្តមង្គ	ឧ・ត・្・ត・ម・ង・្・គ
ឧត្តមជាតិ	ឧត្តម|ជាតិ	ឧ・ត・្・ត・ម・ជ・ា・ត・ិ
ឧត្តមដ្ឋាន	ឧត្តម|ដ្ឋាន	ឧ・ត・្・ត・ម・ដ・្・ឋ・ា・ន
ឧត្តមនាវី	ឧត្តម|នាវី	ឧ・ត・្・ត・ម・ន・ា・វ・ី
ឧត្តមនាវីត្រី	ឧត្តម|នាវី|ត្រី	ឧ・ត・្・ត・ម・ន・ា・វ・ី・ត・្・រ・ី
ឧត្តមនាវីទោ	ឧត្តម|នាវី|ទោ	ឧ・ត・្・ត・ម・ន・ា・វ・ី・ទ・ោ
ឧត្តមនាវីឯក	ឧត្តម|នាវី|ឯក	ឧ・ត・្・ត・ម・ន・ា・វ・ី・ឯ・ក
